ts,size,n,m,p,totaltime
1717077943511,2,50,50,50,445
1717077944971,2,50,50,50,787
1717077947163,2,50,50,50,446
1717077948609,2,50,50,50,449
1717077950059,2,50,50,50,501
1717077951569,2,50,50,50,447
1717077953032,2,50,50,50,446
1717077954486,2,50,50,50,447
1717077955987,2,50,50,50,446
1717077957451,2,50,50,50,444
1717077958903,2,50,50,50,448
1717077960361,2,50,50,50,493
1717077961869,2,50,50,50,447
1717077963306,2,50,50,50,445
1717077964751,2,50,50,50,449
1717077966321,2,50,50,50,445
1717077967771,2,50,50,50,445
1717077969227,2,50,50,50,447
1717077970686,2,50,50,50,571
1717077972273,2,50,50,50,447
1717077973736,2,50,50,50,444
1717077975189,2,50,50,50,449
1717077976674,2,50,50,50,447
1717077978132,2,50,50,50,444
1717077979574,2,50,50,50,445
1717077981031,2,50,50,50,446
1717077982554,2,50,50,50,446
1717077984016,2,50,50,50,445
1717077985470,2,50,50,50,445
1717077986969,2,50,50,50,445
1717077988415,2,50,50,50,443
1717077989863,2,50,50,50,448
1717077991316,2,50,50,50,538
1717077992909,2,50,50,50,444
1717077994366,2,50,50,50,445
1717077995823,2,50,50,50,443
1717077997269,2,50,50,50,480
1717077998773,2,50,50,50,447
1717078000223,2,50,50,50,448
1717078001762,2,50,50,50,447
1717078003219,2,50,50,50,446
1717078004683,2,50,50,50,448
1717078006127,2,50,50,50,498
1717078007639,2,50,50,50,446
1717078009082,2,50,50,50,444
1717078010526,2,50,50,50,446
1717078012027,2,50,50,50,447
1717078013495,2,50,50,50,447
1717078014950,2,50,50,50,446
1717078016402,2,50,50,50,490
1717078017907,2,50,50,50,444
1717078019363,2,50,50,50,447
1717078020824,2,50,50,50,449
1717078022325,2,50,50,50,445
1717078023778,2,50,50,50,445
1717078025231,2,50,50,50,446
1717078026687,2,50,50,50,495
1717078028190,2,50,50,50,445
1717078029645,2,50,50,50,448
1717078031108,2,50,50,50,450
1717078032615,2,50,50,50,446
1717078034069,2,50,50,50,468
1717078035540,2,50,50,50,446
1717078036988,2,50,50,50,519
1717078038518,2,50,50,50,451
1717078039981,2,50,50,50,448
1717078041436,2,50,50,50,444
1717078042932,2,50,50,50,447
1717078044390,2,50,50,50,447
1717078045848,2,50,50,50,449
1717078047304,2,50,50,50,506
1717078048820,2,50,50,50,446
1717078050277,2,50,50,50,445
1717078051721,2,50,50,50,447
1717078053406,2,50,50,50,447
1717078054862,2,50,50,50,448
1717078056314,2,50,50,50,446
1717078057773,2,50,50,50,613
1717078059398,2,50,50,50,446
1717078060860,2,50,50,50,447
1717078062308,2,50,50,50,444
1717078063966,2,50,50,50,450
1717078065429,2,50,50,50,447
1717078067192,2,50,50,50,461
1717078068690,2,50,50,50,447
1717078070151,2,50,50,50,446
1717078071605,2,50,50,50,446
1717078073064,2,50,50,50,447
1717078074569,2,50,50,50,446
1717078076031,2,50,50,50,448
1717078077477,2,50,50,50,446
1717078079103,2,50,50,50,450
1717078080555,2,50,50,50,445
1717078082017,2,50,50,50,448
1717078083544,2,50,50,50,446
1717078085000,2,50,50,50,447
1717078086462,2,50,50,50,446
1717078087922,2,50,50,50,529
1717078197676,3,50,50,50,360
1717078199225,3,50,50,50,362
1717078200801,3,50,50,50,405
1717078202425,3,50,50,50,404
1717078204021,3,50,50,50,359
1717078205577,3,50,50,50,315
1717078207101,3,50,50,50,316
1717078208705,3,50,50,50,360
1717078210257,3,50,50,50,361
1717078211833,3,50,50,50,468
1717078213497,3,50,50,50,400
1717078215097,3,50,50,50,359
1717078216653,3,50,50,50,357
1717078218245,3,50,50,50,403
1717078219845,3,50,50,50,361
1717078221405,3,50,50,50,357
1717078222992,3,50,50,50,372
1717078224573,3,50,50,50,359
1717078226129,3,50,50,50,404
1717078227760,3,50,50,50,406
1717078229637,3,50,50,50,361
1717078231185,3,50,50,50,360
1717078232761,3,50,50,50,364
